Model,MAE,RMSE,RÂ²
LightGBM,3.554129400801494,9.952025171926929,0.9997499819485718
XGBoost,3.820843864889706,13.329087584475277,0.9995515136001265
Random Forest,3.2734165107195925,16.646748037991703,0.9993004685463857
CatBoost,41.03539057783903,74.6140314630877,0.9859463398744074
Mean,565.1396388959482,630.2552357171627,-0.0027238821922095
Seasonal Naive (24h),460.2614777618364,779.4156618530923,-0.5335102786183581
Naive,1481.8999282639886,1610.0217432443303,-5.5435272723992455
Moving Average (168h),1486.129094930655,1613.915209399213,-5.575213561359671
ETS,1501.7185918772052,1621.5037608169728,-5.637191602098879
Drift,1504.6852803442005,1627.0834024733945,-5.682947730103246
SARIMA,1824.8105389662635,1890.2687158592173,-8.01977134207958
